,0
0,0.03644221228500566
1,0.28754895197452846
2,0.83542768888826
3,0.9231642527186384
4,0.881066473444193
5,0.7228792103877542
6,0.5671234095410269
7,0.2571404982219132
8,0.4589520470583668
9,0.7108103579202716
10,0.12593255802109682
11,0.8431237371051076
12,0.5722647596624323
13,0.4544135634620614
14,0.3280246421830557
15,0.4667037548417343
16,0.11601558737256501
17,0.7375906807570298
18,0.20515183583689578
19,0.6624647995568297
20,0.19197387910726116
21,0.910532189627443
22,0.34457064430432527
23,0.5527124802421297
24,0.5415257781526391
25,0.6266038338320434
26,0.6252035208670735
27,0.6753305457613986
28,0.9999662576713684
29,0.9264491858979472
30,0.5141228474463616
31,0.8689490829681882
32,0.2640801816104885
33,0.9692748115288021
34,0.6260111194122622
35,0.7862608016404824
36,0.8192860282645441
37,0.6554966499361031
38,0.9916221986606412
39,0.8968140425435003
40,0.7509300573514274
41,0.29975525462473274
42,0.12268321634741342
43,0.44336805678348157
44,0.2917504294231046
45,0.7622610310752592
46,0.6361952883147226
47,0.8933075488820527
48,0.4001749359754734
49,0.7115414423147715
50,0.7218501061474828
51,0.9619616959191832
52,0.8784612329145514
53,0.9971098599842924
54,0.2801322238036389
55,0.8130726785638694
56,0.8264207541450056
57,0.3787030590419521
58,0.24821162396070473
59,0.07889873591247032
60,0.6059385216766017
61,0.6954087513378218
62,0.10356620376857928
63,0.18694595028855288
64,0.5448673613427865
65,0.5226844293322735
66,0.9046867389162745
67,0.5353620109945133
68,0.5594515062449709
69,0.2367337555575869
70,0.28876340847347304
71,0.11906968110004124
72,0.3910308695899172
73,0.26363488035334115
74,0.11016049553502516
75,0.4318182747335376
76,0.43881536890988215
77,0.14734528272590586
78,0.25556642243014427
79,0.4270672765314041
80,0.3879880429990312
81,0.8250208353369682
82,0.35389666106175266
83,0.4783134197064781
84,0.11346263143771607
85,0.16817055476924225
86,0.46757150959941907
87,0.6873273096015649
88,0.8483960906616125
89,0.5032195431374021
90,0.35024757220139
91,0.9608659163573007
92,0.41086160846884734
93,0.01917960435134103
94,0.9257404623711921
95,0.2562821304392672
96,0.6168168163655042
97,0.9067469757524336
98,0.4808577135003983
99,0.835724840357365
100,0.2543427458977058
101,0.9002210082726341
102,0.19422832226870324
103,0.4239315486561892
104,0.6810531182170552
105,0.4027330266676341
106,0.3791609690652401
107,0.07388831616228131
108,0.2459354738521703
109,0.6944142541366664
110,0.14194606312053593
111,0.826778140751387
112,0.23597490129500032
113,0.5960538463995756
114,0.08057877234154776
115,0.0980825203074065
116,0.49445759328082184
117,0.699003866416118
118,0.3410095163612522
119,0.9297393201042918
120,0.6753256826028369
121,0.7879232362895398
122,0.9521331985992874
123,0.4959615856757763
124,0.17995782982487107
125,0.4120833590707207
126,0.7583572291310207
127,0.8057639254290244
128,0.7644910338019324
129,0.8203608988766776
130,0.16096903692457776
131,0.4135704340671337
132,0.050827553098057754
133,0.9283183858304366
134,0.18360057323158052
135,0.6574203061415629
136,0.5978925288390822
137,0.7469086969388959
138,0.7038514420542781
139,0.4817368351946537
140,0.1194243701608606
141,0.5462955796822272
142,0.7575111914538323
143,0.022730596507587797
144,0.399538743107437
145,0.49170970193534846
146,0.9730457327165656
147,0.9756249528526219
148,0.23321670575687914
149,0.5251285971968925
150,0.21307099928348183
151,0.5314898652040413
152,0.48972073799574733
153,0.5459147757179942
154,0.41804116938607727
155,0.3885540275652202
156,0.9738588447788993
157,0.9816711329536827
158,0.42618834547471307
159,0.5144743982367893
160,0.3504960916701573
161,0.4237550775893347
162,0.35555268823243147
163,0.22481962785305964
164,0.3036468994614986
165,0.4124304288437234
166,0.7485034433589252
167,0.5151831490637716
168,0.9838966012465209
